🏊奥运频道,#genre#
CCTV-5体育,http://117.148.178.12/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230734/index.m3u8
CCTV-5+体育赛事,http://117.148.178.9/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228822/index.m3u8
有線奧運601台,https://www.navchina.cf/IPTV/icable.php?id=61#https://api.leonardpark.dev/live/icable/601
有線奧運602台,https://www.navchina.cf/IPTV/icable.php?id=62#https://api.leonardpark.dev/live/icable/602
有線高清603台,https://www.navchina.cf/IPTV/icable.php?id=63#https://api.leonardpark.dev/live/icable/603
有線奧運604台,https://www.navchina.cf/IPTV/icable.php?id=64#https://api.leonardpark.dev/live/icable/604
有線奧運605台,https://www.navchina.cf/IPTV/icable.php?id=65#https://api.leonardpark.dev/live/icable/605
爱尔达奥运1,http://198.16.106.62:8278/streams/d/elta_olymp1/playlist.m3u8
爱尔达奥运2,http://198.16.106.62:8278/streams/d/elta_olymp2/playlist.m3u8
爱尔达奥运3,http://198.16.106.62:8278/streams/d/elta_olymp3/playlist.m3u8
爱尔达体育1台,rtmp://59.124.75.153/sat/md011#rtmp://59.124.75.153/sat/md021#rtmp://59.124.75.153:1935/sat/md031#rtmp://59.124.75.153/sat/md041#rtmp://59.124.75.153/sat/md051
爱尔达体育2台,rtmp://59.124.75.153/sat/md011#rtmp://59.124.75.153/sat/md021#rtmp://59.124.75.153:1935/sat/md031#rtmp://59.124.75.153/sat/md041#rtmp://59.124.75.153/sat/md051
爱尔达体育3台,http://198.16.106.62:8278/streams/d/eltasport3_zero/playlist.m3u8
AstroOLYMPIC 1,https://link.zozotv.xyz:443/Freemium4/unlimited99/318
AstroOLYMPIC 2,https://link.zozotv.xyz:443/Freemium4/unlimited99/319
AstroOLYMPIC 3,https://link.zozotv.xyz:443/Freemium4/unlimited99/320
AstroOLYMPIC 4,https://link.zozotv.xyz:443/Freemium4/unlimited99/321
AstroOLYMPIC 5,https://link.zozotv.xyz:443/Freemium4/unlimited99/322
AstroOLYMPIC 6,https://link.zozotv.xyz:443/Freemium4/unlimited99/323
AstroOLYMPIC 7,https://link.zozotv.xyz:443/Freemium4/unlimited99/324
AstroOLYMPIC 8,https://link.zozotv.xyz:443/Freemium4/unlimited99/325
AstroOLYMPIC 9,https://link.zozotv.xyz:443/Freemium4/unlimited99/326
AstroOLYMPIC 10,https://link.zozotv.xyz:443/Freemium4/unlimited99/327
AstroOLYMPIC 11,https://link.zozotv.xyz:443/Freemium4/unlimited99/336
AstroOLYMPIC 12,https://link.zozotv.xyz:443/Freemium4/unlimited99/337
Thai OLYMPIC 1,http://185.224.216.1:8081/doofootball_r9/channel1/playlist.m3u8
Thai OLYMPIC 2,http://185.224.216.1:8081/doofootball_r9/channel2/playlist.m3u8
Thai OLYMPIC 3,http://185.224.216.1:8081/doofootball_r9/channel3/playlist.m3u8
Thai OLYMPIC 4,http://185.224.216.1:8081/doofootball_r9/channel4/playlist.m3u8
Thai OLYMPIC 5,http://185.224.216.1:8081/doofootball_r9/channel5/playlist.m3u8
Thai OLYMPIC 6,http://185.224.216.1:8081/doofootball_r9/channel6/playlist.m3u8
Thai OLYMPIC 7,http://185.224.216.1:8081/doofootball_r9/channel7/playlist.m3u8
Thai OLYMPIC 8,http://185.224.216.1:8081/doofootball_r9/channel8/playlist.m3u8
Thai OLYMPIC 9,http://185.224.216.1:8081/doofootball_r9/channel9/playlist.m3u8
Thai OLYMPIC 10,http://185.224.216.1:8081/doofootball_r9/channel10/playlist.m3u8
Thai OLYMPIC 11,http://185.224.216.1:8081/doofootball_r9/channel11/playlist.m3u8
Thai OLYMPIC 12,http://185.224.216.1:8081/doofootball_r9/channel12/playlist.m3u8
Thai OLYMPIC 13,http://185.224.216.1:8081/doof
🇨🇳央视频道,#genre#
央视新闻,https://newsalic.v.myalicdn.com:443/news/news10_1/index.m3u8
CCTV-4K超高清,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226998/index.m3u8
CCTV-1综合,http://223.110.241.137:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ/.m3u8$银河
CCTV-2财经,http://223.110.241.137:6610/gitv/live1/G_CCTV-2-HD/G_CCTV-2-HD/.m3u8$银河
CCTV-3综艺,http://223.110.241.137:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ/.m3u8$银河
CCTV-4国际,http://223.110.241.137:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ/.m3u8$银河
CCTV-5体育,http://223.110.241.137:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/.m3u8$银河
CCTV-5+体育赛事,http://223.110.241.137:6610/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ/.m3u8$银河
CCTV-6电影,http://223.110.241.137:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ/.m3u8$银河
CCTV-7国防军事,http://223.110.241.137:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ/.m3u8$银河
CCTV-8电视剧,http://223.110.241.137:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ/.m3u8$银河
CCTV-10科教,http://223.110.241.137:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ/.m3u8$银河
CCTV-11戏曲,http://223.110.241.137:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/.m3u8$银河
CCTV-13新闻,http://223.110.241.137:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/.m3u8$银河

CCTV-1综合,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226346/1.m3u8$北京8M
CCTV-1综合,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226431/1.m3u8$北京8M
CCTV-2财经,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/1.m3u8$北京8M
CCTV-2财经,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226472/1.m3u8$北京8M
CCTV-3综艺,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/1.m3u8$北京8M
CCTV-4国际,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226335/1.m3u8$北京4M
CCTV-5体育,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/1.m3u8$北京8M
CCTV-5+体育赛事,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226349/1.m3u8$北京4M
CCTV-5+体育赛事,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226458/1.m3u8$北京8M
CCTV-7国防军事,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226467/1.m3u8$北京8M
CCTV-8电视剧,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/1.m3u8$北京8M
CCTV-9纪录,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226465/1.m3u8$北京8M
CCTV-10科教,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226464/1.m3u8$北京8M
CCTV-11戏曲,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226463/1.m3u8$北京8M
CCTV-12社会与法,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226462/1.m3u8$北京8M
CCTV-13新闻,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226316/1.m3u8$北京4M
CCTV-15音乐,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226333/1.m3u8$北京4M
CCTV-17农业农村,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226318/1.m3u8$北京4M

CCTV-1综合,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8$福建8M
CCTV-2财经,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8$福建8M
CCTV-2财经,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226915/index.m3u8$福建8M
CCTV-4国际,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8$福建8M
CCTV-7国防军事,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226803/index.m3u8$福建12M
CCTV-7国防军事,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226998/index.m3u8$福建HEVC
CCTV-9纪录,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8$福建8M
